1, 32; -0.923606, 0.712439, 0.496755; 0, 9, 1, 0; 27835076; 1, 0, 1; 0, 1, 0; 4, 1, 2;
0, 32; -0.928216, 0.713563, 0.508594; 0, 9, 1, 0; 27833784; 1, 0, 1; 1, 0, 0; 2, 1, 2;
0, 32; -0.929186, 0.711052, 0.529018 / -0.928740, 0.711220, 0.529036 / -0.929631, 0.710885, 0.529000; 0, 9, 1, 0; 27830336; 2, 1, 1; 1, 1, 0; 4, 1, 2/ 3, 2, 1;
0, 32; -0.934357, 0.711365, 0.526810; 0, 9, 1, 0; 27831212; 1, 0, 1; 0, 1, 0; 4, 1, 2;
0, 32; -0.943024, 0.706586, 0.473655; 0, 9, 1, 0; 27838378; 0, 1, 0; 0, 1, 0; 1, 1, 1;
0, 32; -0.943545, 0.702326, 0.476841; 0, 9, 1, 0; 27838212; 0, 1, 0; 1, 0, 0; 3, 1, 1;
0, 32; -1.262741, -0.221180, -1.309573; 0, 10, 1, 1; 126237383; 1, 0, 1; 0, 1, 0; 4, 1, 2;
0, 32; -1.266439, -0.224114, -1.309878; 0, 10, 1, 1; 126237298; 1, 0, 1; 0, 1, 0; 1, 1, 2;
0, 32; -1.619654, -0.335756, -2.011923; 0, 10, 1, 1; 118106460; 1, 0, 1; 0, 1, 0; 1, 1, 2;
0, 32; -1.690487, -0.387787, -2.121614; 0, 10, 1, 1; 117786568; 0, 1, 0; 0, 1, 0; 1, 1, 1;
0, 32; -1.701643, -1.250665, -3.040750; 0, 12, 1, 1; 101591931; 1, 0, 1; 0, 1, 0; 1, 1, 2;
1, 33; -1.893392, -0.789182, -3.799812; 0, 12, 1, 1; 86855695; 1, 0, 1; 0, 1, 0; 4, 1, 2;
0, 33; -1.896275, -0.786270, -3.797171; 0, 12, 1, 1; 86855766; 1, 0, 1; 0, 1, 0; 1, 1, 2;
1, 38; -0.159282, -0.700857, -2.061167; 0, 16, 1, 1; 49962631; 0, 1, 0; 0, 1, 0; 4, 1, 1;
0, 38; -0.364336, -0.349867, -1.992976; 0, 16, 1, 1; 44768775; 0, 1, 0; 0, 1, 0; 1, 1, 1;
1, 40; 0.921314, 1.819684, 1.073713; 0, 25, 1, 1; 202661070; 1, 0, 1; 0, 1, 0; 1, 1, 2;
0, 40; 0.928238, 1.841798, 1.063894; 0, 25, 1, 1; 202659536; 1, 0, 1; 0, 1, 0; 1, 1, 2;
2, 0; -2.120727, 2.490181, 3.822755; 0, 40, 1, 1; 31431784; 1, 0, 1; 0, 1, 0; 4, 1, 2;
0, 0; -2.124370, 2.487067, 3.822128; 0, 40, 1, 1; 31431800; 1, 0, 1; 0, 1, 0; 4, 1, 2;
1, 3; 3.672690, 3.670509, -0.095107 / 3.673230, 3.671325, -0.094307 / 3.672151, 3.669693, -0.095907; 0, 42, 1, 1; 58534526; 2, 1, 2; 0, 3, 0; 4, 1, 1/ 4, 5, 2/ 4, 7, 2;
1, 7; -1.116025, 2.610447, 3.632435; 0, 39, 1, 1; 77674128; 1, 0, 1; 0, 1, 0; 4, 1, 2;
1, 11; -2.003750, 0.523412, 3.364052; 0, 6, 1, 1; 86185135; 1, 0, 1; 0, 1, 0; 4, 1, 2;
0, 11; 0.528258, -0.366776, -0.775049; 0, 18, 1, 1; 68531433; 1, 0, 1; 0, 1, 0; 1, 1, 2;
0, 11; 0.529180, -0.369609, -0.773769; 0, 18, 1, 1; 68531646; 1, 0, 1; 0, 1, 0; 4, 1, 2;
1, 27; -1.102160, 1.441234, 0.963855; 0, 8, 1, 0; 30745510; 1, 0, 1; 0, 1, 0; 1, 1, 2;
1, 31; 1.837862, -2.810938, -3.475615; 0, 29, 1, 1; 106136000; 0, 1, 0; 0, 1, 0; 4, 1, 1;
0, 31; 2.777709, -2.638997, -1.984063; 0, 32, 1, 1; 72562264; 0, 1, 0; 0, 1, 0; 4, 1, 1;
1, 32; -0.923606, 0.712439, 0.496755; 0, 9, 1, 0; 27835076; 1, 0, 1; 0, 1, 0; 4, 1, 2;
0, 32; -0.928216, 0.713563, 0.508594; 0, 9, 1, 0; 27833784; 1, 0, 1; 1, 0, 0; 2, 1, 2;
0, 32; -0.929186, 0.711052, 0.529018 / -0.928740, 0.711220, 0.529036 / -0.929631, 0.710885, 0.529000; 0, 9, 1, 0; 27830336; 2, 1, 1; 1, 1, 0; 4, 1, 2/ 3, 2, 1;
0, 32; -0.934357, 0.711365, 0.526810; 0, 9, 1, 0; 27831212; 1, 0, 1; 0, 1, 0; 4, 1, 2;
0, 32; -0.943024, 0.706586, 0.473655; 0, 9, 1, 0; 27838378; 0, 1, 0; 0, 1, 0; 1, 1, 1;
0, 32; -0.943545, 0.702326, 0.476841; 0, 9, 1, 0; 27838212; 0, 1, 0; 1, 0, 0; 3, 1, 1;
0, 32; -1.262741, -0.221180, -1.309573; 0, 10, 1, 1; 126237383; 1, 0, 1; 0, 1, 0; 4, 1, 2;
0, 32; -1.266439, -0.224114, -1.309878; 0, 10, 1, 1; 126237298; 1, 0, 1; 0, 1, 0; 1, 1, 2;
0, 32; -1.619654, -0.335756, -2.011923; 0, 10, 1, 1; 118106460; 1, 0, 1; 0, 1, 0; 1, 1, 2;
0, 32; -1.690487, -0.387787, -2.121614; 0, 10, 1, 1; 117786568; 0, 1, 0; 0, 1, 0; 1, 1, 1;
0, 32; -1.701643, -1.250665, -3.040750; 0, 12, 1, 1; 101591931; 1, 0, 1; 0, 1, 0; 1, 1, 2;
1, 33; -1.893392, -0.789182, -3.799812; 0, 12, 1, 1; 86855695; 1, 0, 1; 0, 1, 0; 4, 1, 2;
0, 33; -1.896275, -0.786270, -3.797171; 0, 12, 1, 1; 86855766; 1, 0, 1; 0, 1, 0; 1, 1, 2;
1, 38; -0.159282, -0.700857, -2.061167; 0, 16, 1, 1; 49962631; 0, 1, 0; 0, 1, 0; 4, 1, 1;
0, 38; -0.364336, -0.349867, -1.992976; 0, 16, 1, 1; 44768775; 0, 1, 0; 0, 1, 0; 1, 1, 1;
1, 40; 0.921314, 1.819684, 1.073713; 0, 25, 1, 1; 202661070; 1, 0, 1; 0, 1, 0; 1, 1, 2;
0, 40; 0.928238, 1.841798, 1.063894; 0, 25, 1, 1; 202659536; 1, 0, 1; 0, 1, 0; 1, 1, 2;
